
name, levels, sample, time (ms)
fixed throughput,1,1,10.0000
fixed throughput,1,2,10.0000
fixed throughput,1,3,0.00000
fixed throughput,1,4,10.0000
fixed throughput,1,5,10.0000
fixed throughput,1,6,10.0000
fixed throughput,1,7,0.00000
fixed throughput,1,8,0.00000
fixed throughput,1,9,0.00000
fixed throughput,1,10,0.00000
fixed throughput,1,avg,5.00000

name, levels, sample, time (ms)
fixed time limits,1,1,20.0000
fixed time limits,1,2,20.0000
fixed time limits,1,3,20.0000
fixed time limits,1,4,20.0000
fixed time limits,1,5,10.0000
fixed time limits,1,6,10.0000
fixed time limits,1,7,10.0000
fixed time limits,1,8,20.0000
fixed time limits,1,9,10.0000
fixed time limits,1,10,10.0000
fixed time limits,1,avg,15.0000

name, levels, sample, time (ms)
random throughput,1,1,0.00000
random throughput,1,2,0.00000
random throughput,1,3,0.00000
random throughput,1,4,0.00000
random throughput,1,5,0.00000
random throughput,1,6,10.0000
random throughput,1,7,0.00000
random throughput,1,8,10.0000
random throughput,1,9,10.0000
random throughput,1,10,10.0000
random throughput,1,avg,4.00000

name, levels, sample, time (ms)
random time limits,1,1,20.0000
random time limits,1,2,10.0000
random time limits,1,3,20.0000
random time limits,1,4,10.0000
random time limits,1,5,10.0000
random time limits,1,6,10.0000
random time limits,1,7,20.0000
random time limits,1,8,20.0000
random time limits,1,9,10.0000
random time limits,1,10,10.0000
random time limits,1,avg,14.0000

name, levels, sample, time (ms)
fixed throughput,2,1,10.0000
fixed throughput,2,2,0.00000
fixed throughput,2,3,10.0000
fixed throughput,2,4,10.0000
fixed throughput,2,5,10.0000
fixed throughput,2,6,10.0000
fixed throughput,2,7,10.0000
fixed throughput,2,8,10.0000
fixed throughput,2,9,10.0000
fixed throughput,2,10,10.0000
fixed throughput,2,avg,9.00000

name, levels, sample, time (ms)
fixed time limits,2,1,10.0000
fixed time limits,2,2,20.0000
fixed time limits,2,3,10.0000
fixed time limits,2,4,10.0000
fixed time limits,2,5,10.0000
fixed time limits,2,6,10.0000
fixed time limits,2,7,20.0000
fixed time limits,2,8,20.0000
fixed time limits,2,9,10.0000
fixed time limits,2,10,20.0000
fixed time limits,2,avg,14.0000

name, levels, sample, time (ms)
random throughput,2,1,10.0000
random throughput,2,2,0.00000
random throughput,2,3,10.0000
random throughput,2,4,0.00000
random throughput,2,5,0.00000
random throughput,2,6,0.00000
random throughput,2,7,10.0000
random throughput,2,8,0.00000
random throughput,2,9,10.0000
random throughput,2,10,10.0000
random throughput,2,avg,5.00000

name, levels, sample, time (ms)
random time limits,2,1,20.0000
random time limits,2,2,20.0000
random time limits,2,3,10.0000
random time limits,2,4,20.0000
random time limits,2,5,20.0000
random time limits,2,6,20.0000
random time limits,2,7,20.0000
random time limits,2,8,10.0000
random time limits,2,9,20.0000
random time limits,2,10,10.0000
random time limits,2,avg,17.0000

name, levels, sample, time (ms)
fixed throughput,3,1,0.00000
fixed throughput,3,2,10.0000
fixed throughput,3,3,10.0000
fixed throughput,3,4,10.0000
fixed throughput,3,5,10.0000
fixed throughput,3,6,0.00000
fixed throughput,3,7,10.0000
fixed throughput,3,8,10.0000
fixed throughput,3,9,0.00000
fixed throughput,3,10,10.0000
fixed throughput,3,avg,7.00000
